"Pop","Dam","Sire","id","Cohort","GermBlock","Germinate","SowDate","GermDate","MainBlock","InitialSize","WinterSurv"
"WFM","WFM04","WFM14","WFM_04_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",35.15,"YES"
"NMT","NMT12","NMT10","NMT_12_10","north","north_A","Y","2015-08-03","2015-08-11","north_A",29.2,"YES"
"LIJ","LIJ01","LIJ14","LIJ_01_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",24.79,"NO"
"CUR","CUR15","CUR13","CUR_15_13","north","north_A","Y","2015-08-03","2015-08-13","north_A",41.06,"YES"
"LIJ","LIJ02","LIJ14","LIJ_02_14","north","north_A","Y","2015-08-03","2015-08-10","north_A",35.39,"YES"
"WFM","WFM08","WFM05","WFM_08_05","north","north_A","Y","2015-08-03","2015-08-11","north_A",43.01,"YES"
"RCK","RCK10","RCK09","RCK_10_09","north","north_A","Y","2015-08-03","2015-08-16","north_A",31.92,"YES"
"NMT","NMT14","NMT12","NMT_14_12","north","north_A","Y","2015-08-03","2015-08-10","north_A",44.92,"YES"
"LIJ","LIJ10","LIJ08","LIJ_10_08","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"WFM","WFM08","WFM07","WFM_08_07","north","north_A","Y","2015-08-03","2015-08-11","north_A",28.99,"YES"
"LIJ","LIJ13","LIJ11","LIJ_13_11","north","north_A","Y","2015-08-03","2015-08-14","north_A",36.69,"YES"
"CUR","CUR14","CUR11","CUR_14_11","north","north_A","Y","2015-08-03","2015-08-11","north_A",45.66,"YES"
"LIJ","LIJ07","LIJ02","LIJ_07_02","north","north_A","Y","2015-08-03","2015-08-25","north_A",20.53,"NO"
"LIJ","LIJ12","LIJ10","LIJ_12_10","north","north_A","Y","2015-08-03","2015-08-12","north_A",36.37,"YES"
"CUR","CUR08","CUR05","CUR_08_05","north","north_A","Y","2015-08-03","2015-08-10","north_A",44.29,"YES"
"NMT","NMT09","NMT06","NMT_09_06","north","north_A","Y","2015-08-03","2015-08-12","north_A",40.72,"YES"
"RCK","RCK10","RCK07","RCK_10_07","north","north_A","Y","2015-08-03","2015-08-11","north_A",37.22,"NO"
"CUR","CUR13","CUR10","CUR_13_10","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"LIJ","LIJ12","LIJ08","LIJ_12_08","north","north_A","Y","2015-08-03","2015-08-11","north_A",31.97,"YES"
"NMT","NMT15","NMT13","NMT_15_13","north","north_A","Y","2015-08-03","2015-08-11","north_A",34.46,"YES"
"NMT","NMT13","NMT11","NMT_13_11","north","north_A","Y","2015-08-03","2015-08-10","north_A",39.78,"YES"
"RCK","RCK01","RCK13","RCK_01_13","north","north_A","Y","2015-08-03","2015-08-16","north_A",25.13,"YES"
"WFM","WFM01","WFM14","WFM_01_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",42.41,"YES"
"WFM","WFM03","WFM15","WFM_03_15","north","north_A","Y","2015-08-03","2015-08-10","north_A",35.95,"YES"
"NMT","NMT03","NMT02","NMT_03_02","north","north_A","Y","2015-08-03","2015-08-10","north_A",51.92,"YES"
"NMT","NMT12","NMT09","NMT_12_09","north","north_A","Y","2015-08-03","2015-08-11","north_A",45.14,"YES"
"LIJ","LIJ15","LIJ11","LIJ_15_11","north","north_A","Y","2015-08-03","2015-08-11","north_A",35.32,"YES"
"WFM","WFM10","WFM06","WFM_10_06","north","north_A","Y","2015-08-03","2015-08-09","north_A",36.48,"YES"
"CUR","CUR12","CUR08","CUR_12_08","north","north_A","Y","2015-08-03","2015-08-09","north_A",35.66,"YES"
"NMT","NMT13","NMT10","NMT_13_10","north","north_A","Y","2015-08-03","2015-08-09","north_A",34.57,"YES"
"RCK","RCK06","RCK03","RCK_06_03","north","north_A","N","2015-08-03",NA,"",NA,NA
"RCK","RCK12","RCK09","RCK_12_09","north","north_A","Y","2015-08-03","2015-08-13","north_A",37.23,"NO"
"CUR","CUR14","CUR10","CUR_14_10","north","north_A","Y","2015-08-03","2015-08-16","north_A",29.57,"NO"
"WFM","WFM06","WFM02","WFM_06_02","north","north_A","Y","2015-08-03","2015-08-10","north_A",27.58,"YES"
"LIJ","LIJ12","LIJ09","LIJ_12_09","north","north_A","Y","2015-08-03","2015-08-10","north_A",38.81,"YES"
"NMT","NMT01","NMT15","NMT_01_15","north","north_A","Y","2015-08-03","2015-08-11","north_A",36.11,"YES"
"CUR","CUR13","CUR11","CUR_13_11","north","north_A","Y","2015-08-03","2015-08-11","north_A",37.05,"YES"
"LIJ","LIJ03","LIJ14","LIJ_03_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",34.06,"YES"
"LIJ","LIJ08","LIJ06","LIJ_08_06","north","north_A","Y","2015-08-03","2015-08-12","north_A",30.49,"YES"
"RCK","RCK02","RCK14","RCK_02_14","north","north_A","Y","2015-08-03","2015-08-13","north_A",33.62,"YES"
"RCK","RCK03","RCK01","RCK_03_01","north","north_A","N","2015-08-03",NA,"",NA,NA
"NMT","NMT08","NMT07","NMT_08_07","north","north_A","Y","2015-08-03","2015-08-17","north_A",26.04,"YES"
"WFM","WFM11","WFM08","WFM_11_08","north","north_A","Y","2015-08-03","2015-08-19","north_A",31.53,"YES"
"LIJ","LIJ11","LIJ08","LIJ_11_08","north","north_A","Y","2015-08-03","2015-08-14","north_A",34.63,"YES"
"NMT","NMT03","NMT01","NMT_03_01","north","north_A","Y","2015-08-03","2015-08-09","north_A",32.55,"YES"
"RCK","RCK14","RCK13","RCK_14_13","north","north_A","Y","2015-08-03","2015-08-16","north_A",17.4,"YES"
"LIJ","LIJ01","LIJ12","LIJ_01_12","north","north_A","Y","2015-08-03","2015-08-11","north_A",32.33,"YES"
"CUR","CUR05","CUR02","CUR_05_02","north","north_A","Y","2015-08-03","2015-08-10","north_A",42.89,"YES"
"NMT","NMT06","NMT03","NMT_06_03","north","north_A","Y","2015-08-03","2015-08-10","north_A",38.8,"YES"
"RCK","RCK04","RCK02","RCK_04_02","north","north_A","Y","2015-08-03","2015-08-25","north_A",NA,"NO"
"CUR","CUR15","CUR12","CUR_15_12","north","north_A","Y","2015-08-03","2015-08-25","north_A",25.72,"NO"
"CUR","CUR02","CUR13","CUR_02_13","north","north_A","Y","2015-08-03","2015-08-10","north_A",38.55,"YES"
"NMT","NMT08","NMT05","NMT_08_05","north","north_A","Y","2015-08-03","2015-08-10","north_A",43.84,"YES"
"RCK","RCK03","RCK02","RCK_03_02","north","north_A","Y","2015-08-03","2015-08-17","north_A",NA,"NO"
"RCK","RCK02","RCK15","RCK_02_15","north","north_A","Y","2015-08-03","2015-08-11","north_A",38.54,"YES"
"NMT","NMT04","NMT03","NMT_04_03","north","north_A","Y","2015-08-03","2015-08-11","north_A",43.67,"YES"
"CUR","CUR03","CUR15","CUR_03_15","north","north_A","Y","2015-08-03","2015-08-12","north_A",41.74,"YES"
"RCK","RCK13","RCK10","RCK_13_10","north","north_A","Y","2015-08-03","2015-08-25","north_A",10.75,"NO"
"NMT","NMT14","NMT13","NMT_14_13","north","north_A","Y","2015-08-03","2015-08-10","north_A",44.83,"YES"
"NMT","NMT11","NMT09","NMT_11_09","north","north_A","Y","2015-08-03","2015-08-10","north_A",36.33,"YES"
"WFM","WFM07","WFM03","WFM_07_03","north","north_A","N","2015-08-03",NA,"",NA,NA
"NMT","NMT02","NMT14","NMT_02_14","north","north_A","Y","2015-08-03","2015-08-10","north_A",43.14,"YES"
"NMT","NMT10","NMT07","NMT_10_07","north","north_A","Y","2015-08-03","2015-08-09","north_A",41.5,"YES"
"RCK","RCK08","RCK07","RCK_08_07","north","north_A","Y","2015-08-03","2015-08-11","north_A",35.22,"NO"
"CUR","CUR03","CUR14","CUR_03_14","north","north_A","N","2015-08-03",NA,"",NA,NA
"NMT","NMT02","NMT15","NMT_02_15","north","north_A","Y","2015-08-03","2015-08-18","north_A",32.44,"YES"
"WFM","WFM01","WFM13","WFM_01_13","north","north_A","Y","2015-08-03","2015-08-10","north_A",43.96,"YES"
"RCK","RCK11","RCK10","RCK_11_10","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"NMT","NMT07","NMT06","NMT_07_06","north","north_A","Y","2015-08-03","2015-08-10","north_A",26.17,"YES"
"NMT","NMT01","NMT13","NMT_01_13","north","north_A","Y","2015-08-03","2015-08-11","north_A",39.96,"YES"
"WFM","WFM07","WFM04","WFM_07_04","north","north_A","Y","2015-08-03","2015-08-11","north_A",29.88,"YES"
"WFM","WFM14","WFM10","WFM_14_10","north","north_A","Y","2015-08-03","2015-08-09","north_A",28.67,"YES"
"CUR","CUR07","CUR05","CUR_07_05","north","north_A","Y","2015-08-03","2015-08-09","north_A",25,"YES"
"LIJ","LIJ15","LIJ12","LIJ_15_12","north","north_A","Y","2015-08-03","2015-08-16","north_A",10.85,"NO"
"LIJ","LIJ11","LIJ09","LIJ_11_09","north","north_A","N","2015-08-03",NA,"",NA,NA
"RCK","RCK09","RCK06","RCK_09_06","north","north_A","Y","2015-08-03","2015-08-25","north_A",NA,"NO"
"CUR","CUR03","CUR01","CUR_03_01","north","north_A","Y","2015-08-03","2015-08-10","north_A",41.43,"YES"
"LIJ","LIJ06","LIJ01","LIJ_06_01","north","north_A","Y","2015-08-03","2015-08-11","north_A",31.39,"YES"
"NMT","NMT12","NMT11","NMT_12_11","north","north_A","Y","2015-08-03","2015-08-14","north_A",38.58,"YES"
"WFM","WFM15","WFM13","WFM_15_13","north","north_A","Y","2015-08-03","2015-08-09","north_A",40.81,"YES"
"RCK","RCK01","RCK14","RCK_01_14","north","north_A","N","2015-08-03",NA,"",NA,NA
"WFM","WFM08","WFM06","WFM_08_06","north","north_A","Y","2015-08-03","2015-08-11","north_A",36.49,"YES"
"NMT","NMT04","NMT01","NMT_04_01","north","north_A","Y","2015-08-03","2015-08-10","north_A",35.91,"YES"
"CUR","CUR10","CUR07","CUR_10_07","north","north_A","Y","2015-08-03","2015-08-10","north_A",37.81,"NO"
"NMT","NMT06","NMT04","NMT_06_04","north","north_A","Y","2015-08-03","2015-08-10","north_A",49.47,"YES"
"LIJ","LIJ09","LIJ07","LIJ_09_07","north","north_A","Y","2015-08-03","2015-08-25","north_A",NA,"NO"
"WFM","WFM02","WFM15","WFM_02_15","north","north_A","Y","2015-08-03","2015-08-11","north_A",36.25,"YES"
"CUR","CUR02","CUR15","CUR_02_15","north","north_A","Y","2015-08-03","2015-08-12","north_A",27.38,"NO"
"WFM","WFM15","WFM14","WFM_15_14","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"NMT","NMT11","NMT10","NMT_11_10","north","north_A","Y","2015-08-03","2015-08-09","north_A",32.72,"YES"
"RCK","RCK04","RCK03","RCK_04_03","north","north_A","N","2015-08-03",NA,"",NA,NA
"WFM","WFM11","WFM10","WFM_11_10","north","north_A","Y","2015-08-03","2015-08-11","north_A",34.05,"YES"
"NMT","NMT04","NMT02","NMT_04_02","north","north_A","Y","2015-08-03","2015-08-11","north_A",34.7,"YES"
"CUR","CUR15","CUR11","CUR_15_11","north","north_A","Y","2015-08-03","2015-08-12","north_A",32.78,"YES"
"WFM","WFM13","WFM09","WFM_13_09","north","north_A","Y","2015-08-03","2015-08-10","north_A",34.35,"YES"
"LIJ","LIJ14","LIJ12","LIJ_14_12","north","north_A","Y","2015-08-03","2015-08-11","north_A",25.87,"YES"
"RCK","RCK09","RCK07","RCK_09_07","north","north_A","Y","2015-08-03","2015-08-18","north_A",NA,"NO"
"RCK","RCK07","RCK05","RCK_07_05","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"LIJ","LIJ13","LIJ10","LIJ_13_10","north","north_A","Y","2015-08-03","2015-08-12","north_A",NA,"NO"
"NMT","NMT02","NMT01","NMT_02_01","north","north_A","Y","2015-08-03","2015-08-09","north_A",33.11,"YES"
"RCK","RCK14","RCK11","RCK_14_11","north","north_A","N","2015-08-03",NA,"",NA,NA
"NMT","NMT10","NMT09","NMT_10_09","north","north_A","Y","2015-08-03","2015-08-10","north_A",26.08,"YES"
"RCK","RCK03","RCK15","RCK_03_15","north","north_A","Y","2015-08-03","2015-08-13","north_A",18.67,"YES"
"RCK","RCK09","RCK08","RCK_09_08","north","north_A","Y","2015-08-03","2015-08-17","",NA,NA
"WFM","WFM04","WFM02","WFM_04_02","north","north_A","Y","2015-08-03","2015-08-17","north_A",17.95,"YES"
"NMT","NMT03","NMT15","NMT_03_15","north","north_A","Y","2015-08-03","2015-08-11","north_A",32.19,"YES"
"WFM","WFM12","WFM10","WFM_12_10","north","north_A","Y","2015-08-03","2015-08-10","north_A",28.61,"YES"
"CUR","CUR01","CUR12","CUR_01_12","north","north_A","Y","2015-08-03","2015-08-11","north_A",22.3,"YES"
"CUR","CUR02","CUR14","CUR_02_14","north","north_A","Y","2015-08-03","2015-08-25","north_A",3.25,"NO"
"NMT","NMT09","NMT08","NMT_09_08","north","north_A","Y","2015-08-03","2015-08-10","north_A",25.49,"NO"
"CUR","CUR07","CUR03","CUR_07_03","north","north_A","Y","2015-08-03","2015-08-10","north_A",31.27,"NO"
"RCK","RCK06","RCK05","RCK_06_05","north","north_A","Y","2015-08-03","2015-08-13","north_A",28.27,"YES"
"NMT","NMT06","NMT05","NMT_06_05","north","north_A","Y","2015-08-03","2015-08-09","north_A",25.53,"YES"
"CUR","CUR10","CUR06","CUR_10_06","north","north_A","Y","2015-08-03","2015-08-09","north_A",28.38,"YES"
"RCK","RCK12","RCK10","RCK_12_10","north","north_A","N","2015-08-03",NA,"",NA,NA
"WFM","WFM07","WFM05","WFM_07_05","north","north_A","Y","2015-08-03","2015-08-09","north_A",30.01,"YES"
"RCK","RCK04","RCK01","RCK_04_01","north","north_A","Y","2015-08-03","2015-08-14","north_A",NA,"NO"
"RCK","RCK13","RCK11","RCK_13_11","north","north_A","N","2015-08-03",NA,"",NA,NA
"CUR","CUR06","CUR03","CUR_06_03","north","north_A","Y","2015-08-03","2015-08-14","north_A",27.01,"YES"
"NMT","NMT05","NMT02","NMT_05_02","north","north_A","Y","2015-08-03","2015-08-10","north_A",45.15,"YES"
"WFM","WFM14","WFM11","WFM_14_11","north","north_A","Y","2015-08-03","2015-08-10","north_A",36.17,"NO"
"LIJ","LIJ06","LIJ02","LIJ_06_02","north","north_A","Y","2015-08-03","2015-08-11","north_A",30.58,"YES"
"LIJ","LIJ05","LIJ15","LIJ_05_15","north","north_A","Y","2015-08-03","2015-08-25","north_A",12.64,"YES"
"WFM","WFM06","WFM03","WFM_06_03","north","north_A","Y","2015-08-03","2015-08-10","north_A",26.92,"YES"
"RCK","RCK14","RCK12","RCK_14_12","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"NMT","NMT07","NMT04","NMT_07_04","north","north_A","Y","2015-08-03","2015-08-11","north_A",12.46,"YES"
"CUR","CUR06","CUR04","CUR_06_04","north","north_A","Y","2015-08-03","2015-08-10","north_A",NA,"NO"
"LIJ","LIJ06","LIJ03","LIJ_06_03","north","north_A","Y","2015-08-03","2015-08-11","north_A",25.67,"YES"
"NMT","NMT13","NMT12","NMT_13_12","north","north_A","Y","2015-08-03","2015-08-12","north_A",22.05,"YES"
"LIJ","LIJ05","LIJ02","LIJ_05_02","north","north_A","Y","2015-08-03","2015-08-14","north_A",24.38,"YES"
"RCK","RCK05","RCK04","RCK_05_04","north","north_A","Y","2015-08-03","2015-08-25","north_A",14.87,"YES"
"RCK","RCK10","RCK08","RCK_10_08","north","north_A","Y","2015-08-03","2015-08-14","north_A",29.13,"YES"
"WFM","WFM09","WFM07","WFM_09_07","north","north_A","Y","2015-08-03","2015-08-10","north_A",27.38,"YES"
"NMT","NMT15","NMT14","NMT_15_14","north","north_A","Y","2015-08-03","2015-08-10","north_A",52.35,"YES"
"WFM","WFM11","WFM07","WFM_11_07","north","north_A","Y","2015-08-03","2015-08-09","north_A",19.2,"NO"
"LIJ","LIJ11","LIJ07","LIJ_11_07","north","north_A","Y","2015-08-03","2015-08-18","north_A",NA,"NO"
"LIJ","LIJ09","LIJ06","LIJ_09_06","north","north_A","Y","2015-08-03","2015-08-11","north_A",11.06,"NO"
"LIJ","LIJ03","LIJ01","LIJ_03_01","north","north_A","Y","2015-08-03","2015-08-14","north_A",21.74,"YES"
"WFM","WFM03","WFM02","WFM_03_02","north","north_A","Y","2015-08-03","2015-08-13","north_A",24.76,"YES"
"RCK","RCK06","RCK04","RCK_06_04","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"WFM","WFM05","WFM04","WFM_05_04","north","north_A","N","2015-08-03",NA,"",NA,NA
"RCK","RCK02","RCK01","RCK_02_01","north","north_A","N","2015-08-03",NA,"",NA,NA
"CUR","CUR06","CUR02","CUR_06_02","north","north_A","Y","2015-08-03","2015-08-12","north_A",11.77,"YES"
"RCK","RCK12","RCK11","RCK_12_11","north","north_A","Y","2015-08-03","2015-08-17","north_A",17.97,"YES"
"RCK","RCK08","RCK06","RCK_08_06","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"NMT","NMT15","NMT12","NMT_15_12","north","north_A","Y","2015-08-03","2015-08-09","north_A",NA,"NO"
"NMT","NMT10","NMT08","NMT_10_08","north","north_A","Y","2015-08-03","2015-08-10","north_A",39.57,"YES"
"NMT","NMT07","NMT05","NMT_07_05","north","north_A","Y","2015-08-03","2015-08-11","north_A",32,"YES"
"CUR","CUR09","CUR06","CUR_09_06","north","north_A","Y","2015-08-03","2015-08-09","north_A",36.77,"YES"
"NMT","NMT09","NMT07","NMT_09_07","north","north_A","Y","2015-08-03","2015-08-25","north_A",17.91,"YES"
"CUR","CUR04","CUR02","CUR_04_02","north","north_A","Y","2015-08-03","2015-08-11","north_A",NA,"NO"
"RCK","RCK08","RCK05","RCK_08_05","north","north_A","Y","2015-08-03","2015-08-18","north_A",20.53,"YES"
"CUR","CUR09","CUR05","CUR_09_05","north","north_A","Y","2015-08-03","2015-08-10","north_A",40.21,"YES"
"WFM","WFM03","WFM14","WFM_03_14","north","north_A","Y","2015-08-03","2015-08-10","north_A",26.7,"YES"
"NMT","NMT01","NMT14","NMT_01_14","north","north_A","Y","2015-08-03","2015-08-10","north_A",33.69,"NO"
"CUR","CUR01","CUR14","CUR_01_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",34.63,"YES"
"LIJ","LIJ07","LIJ03","LIJ_07_03","north","north_A","Y","2015-08-03","2015-08-18","north_A",20.19,"YES"
"NMT","NMT11","NMT08","NMT_11_08","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"LIJ","LIJ08","LIJ05","LIJ_08_05","north","north_A","Y","2015-08-03","2015-08-16","north_A",29.72,"YES"
"CUR","CUR12","CUR10","CUR_12_10","north","north_A","Y","2015-08-03","2015-08-10","north_A",36.5,"YES"
"CUR","CUR05","CUR03","CUR_05_03","north","north_A","Y","2015-08-03","2015-08-19","north_A",26.32,"YES"
"CUR","CUR13","CUR09","CUR_13_09","north","north_A","Y","2015-08-03","2015-08-09","north_A",34.55,"YES"
"LIJ","LIJ07","LIJ05","LIJ_07_05","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"LIJ","LIJ02","LIJ13","LIJ_02_13","north","north_A","Y","2015-08-03","2015-08-10","north_A",28.84,"YES"
"LIJ","LIJ01","LIJ13","LIJ_01_13","north","north_A","Y","2015-08-03","2015-08-10","north_A",31.41,"YES"
"CUR","CUR05","CUR01","CUR_05_01","north","north_A","Y","2015-08-03","2015-08-11","north_A",39.03,"YES"
"RCK","RCK05","RCK03","RCK_05_03","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"CUR","CUR08","CUR04","CUR_08_04","north","north_A","Y","2015-08-03","2015-08-14","north_A",27.06,"YES"
"CUR","CUR11","CUR07","CUR_11_07","north","north_A","Y","2015-08-03","2015-08-10","north_A",36.25,"YES"
"NMT","NMT05","NMT03","NMT_05_03","north","north_A","Y","2015-08-03","2015-08-09","north_A",39.05,"YES"
"LIJ","LIJ03","LIJ15","LIJ_03_15","north","north_A","Y","2015-08-03","2015-08-25","north_A",21.8,"NO"
"CUR","CUR12","CUR09","CUR_12_09","north","north_A","Y","2015-08-03","2015-08-09","north_A",32.37,"YES"
"LIJ","LIJ14","LIJ10","LIJ_14_10","north","north_A","Y","2015-08-03","2015-08-13","north_A",25.35,"NO"
"CUR","CUR14","CUR12","CUR_14_12","north","north_A","Y","2015-08-03","2015-08-10","north_A",37.82,"YES"
"WFM","WFM09","WFM06","WFM_09_06","north","north_A","Y","2015-08-03","2015-08-10","north_A",42.15,"YES"
"RCK","RCK15","RCK12","RCK_15_12","north","north_A","N","2015-08-03",NA,"",NA,NA
"NMT","NMT05","NMT04","NMT_05_04","north","north_A","Y","2015-08-03","2015-08-10","north_A",42.9,"YES"
"CUR","CUR04","CUR01","CUR_04_01","north","north_A","N","2015-08-03",NA,"",NA,NA
"CUR","CUR11","CUR09","CUR_11_09","north","north_A","Y","2015-08-03","2015-08-11","north_A",30.35,"YES"
"WFM","WFM12","WFM08","WFM_12_08","north","north_A","Y","2015-08-03","2015-08-10","north_A",30.79,"NO"
"WFM","WFM10","WFM09","WFM_10_09","north","north_A","Y","2015-08-03","2015-08-09","north_A",29.36,"NO"
"LIJ","LIJ10","LIJ07","LIJ_10_07","north","north_A","Y","2015-08-03","2015-08-25","north_A",13.18,"NO"
"LIJ","LIJ05","LIJ01","LIJ_05_01","north","north_A","N","2015-08-03",NA,"",NA,NA
"WFM","WFM13","WFM11","WFM_13_11","north","north_A","Y","2015-08-03","2015-08-10","north_A",36.48,"YES"
"CUR","CUR07","CUR04","CUR_07_04","north","north_A","Y","2015-08-03","2015-08-14","north_A",24.1,"NO"
"LIJ","LIJ02","LIJ15","LIJ_02_15","north","north_A","Y","2015-08-03","2015-08-14","north_A",33.73,"YES"
"WFM","WFM09","WFM05","WFM_09_05","north","north_A","Y","2015-08-03","2015-08-10","north_A",27.22,"NO"
"LIJ","LIJ15","LIJ13","LIJ_15_13","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"WFM","WFM05","WFM01","WFM_05_01","north","north_A","Y","2015-08-03","2015-08-10","north_A",34.01,"YES"
"RCK","RCK13","RCK12","RCK_13_12","north","north_A","N","2015-08-03",NA,"",NA,NA
"LIJ","LIJ10","LIJ06","LIJ_10_06","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"CUR","CUR11","CUR08","CUR_11_08","north","north_A","Y","2015-08-03","2015-08-25","north_A",NA,"NO"
"WFM","WFM15","WFM11","WFM_15_11","north","north_A","Y","2015-08-03","2015-08-10","north_A",34.96,"YES"
"WFM","WFM05","WFM03","WFM_05_03","north","north_A","N","2015-08-03",NA,"",NA,NA
"RCK","RCK15","RCK13","RCK_15_13","north","north_A","N","2015-08-03",NA,"",NA,NA
"LIJ","LIJ14","LIJ11","LIJ_14_11","north","north_A","Y","2015-08-03","2015-08-10","north_A",35.15,"YES"
"CUR","CUR10","CUR08","CUR_10_08","north","north_A","Y","2015-08-03","2015-08-09","north_A",27.9,"YES"
"RCK","RCK07","RCK04","RCK_07_04","north","north_A","N","2015-08-03",NA,"",NA,NA
"CUR","CUR09","CUR07","CUR_09_07","north","north_A","Y","2015-08-03","2015-08-10","north_A",30.79,"YES"
"WFM","WFM01","WFM12","WFM_01_12","north","north_A","Y","2015-08-03","2015-08-09","north_A",31.54,"NO"
"RCK","RCK11","RCK08","RCK_11_08","north","north_A","N","2015-08-03",NA,"",NA,NA
"WFM","WFM10","WFM08","WFM_10_08","north","north_A","Y","2015-08-03","2015-08-13","north_A",32.74,"YES"
"WFM","WFM04","WFM15","WFM_04_15","north","north_A","Y","2015-08-03","2015-08-14","north_A",23.55,"NO"
"WFM","WFM12","WFM09","WFM_12_09","north","north_A","N","2015-08-03",NA,"",NA,NA
"RCK","RCK07","RCK06","RCK_07_06","north","north_A","Y","2015-08-03","2015-08-11","north_A",31.7,"YES"
"CUR","CUR08","CUR06","CUR_08_06","north","north_A","Y","2015-08-03","2015-08-10","north_A",25,"NO"
"WFM","WFM14","WFM12","WFM_14_12","north","north_A","Y","2015-08-03","2015-08-09","north_A",16.04,"NO"
"RCK","RCK15","RCK14","RCK_15_14","north","north_A","Y","2015-08-03","2015-08-14","",NA,NA
"CUR","CUR04","CUR15","CUR_04_15","north","north_A","Y","2015-08-03","2015-08-10","north_A",40.75,"YES"
"RCK","RCK01","RCK15","RCK_01_15","north","north_A","Y","2015-08-03","2015-08-14","north_A",22.15,"YES"
"CUR","CUR01","CUR13","CUR_01_13","north","north_A","Y","2015-08-03","2015-08-09","north_A",29.04,"YES"
"RCK","RCK11","RCK09","RCK_11_09","north","north_A","Y","2015-08-03","2015-08-17","north_A",26.44,"YES"
"WFM","WFM13","WFM12","WFM_13_12","north","north_A","Y","2015-08-03","2015-08-09","north_A",40.03,"YES"
"WFM","WFM02","WFM01","WFM_02_01","north","north_A","Y","2015-08-03","2015-08-11","north_A",33.51,"YES"
"RCK","RCK05","RCK02","RCK_05_02","north","north_A","N","2015-08-03",NA,"",NA,NA
"LIJ","LIJ08","LIJ03","LIJ_08_03","north","north_A","N","2015-08-03",NA,"north_A",25.37,"NO"
"WFM","WFM06","WFM04","WFM_06_04","north","north_A","Y","2015-08-03","2015-08-11","north_A",31.78,"YES"
"LIJ","LIJ09","LIJ05","LIJ_09_05","north","north_A","Y","2015-08-03","2015-08-11","north_A",24.26,"NO"
"WFM","WFM02","WFM13","WFM_02_13","north","north_A","Y","2015-08-03","2015-08-11","north_A",27.52,"YES"
"NMT","NMT08","NMT06","NMT_08_06","north","north_A","Y","2015-08-03","2015-08-13","north_A",29.66,"YES"
"NMT","NMT14","NMT11","NMT_14_11","north","north_A","Y","2015-08-03","2015-08-12","north_A",26.21,"YES"
"LIJ","LIJ13","LIJ09","LIJ_13_09","north","north_A","Y","2015-08-03","2015-08-10","north_A",29.82,"NO"
"WFM","WFM09","WFM07","WFM_09_07","north","north_B","N","2015-08-03",NA,"",NA,NA
"RCK","RCK11","RCK10","RCK_11_10","north","north_B","Y","2015-08-03","2015-08-17","north_B",18.44,"NO"
"RCK","RCK10","RCK07","RCK_10_07","north","north_B","Y","2015-08-03","2015-08-18","north_B",16.3,"NO"
"LIJ","LIJ15","LIJ12","LIJ_15_12","north","north_B","Y","2015-08-03","2015-08-10","north_B",33.21,"YES"
"RCK","RCK08","RCK07","RCK_08_07","north","north_B","N","2015-08-03",NA,"",NA,NA
"LIJ","LIJ15","LIJ11","LIJ_15_11","north","north_B","N","2015-08-03",NA,"",NA,NA
"NMT","NMT04","NMT02","NMT_04_02","north","north_B","Y","2015-08-03","2015-08-13","north_B",26.21,"YES"
"LIJ","LIJ03","LIJ14","LIJ_03_14","north","north_B","Y","2015-08-03","2015-08-11","north_B",33.96,"YES"
"CUR","CUR12","CUR08","CUR_12_08","north","north_B","Y","2015-08-03","2015-08-09","north_B",38.83,"YES"
"CUR","CUR03","CUR01","CUR_03_01","north","north_B","Y","2015-08-03","2015-08-12","north_B",46.52,"YES"
"WFM","WFM15","WFM11","WFM_15_11","north","north_B","Y","2015-08-03","2015-08-10","north_B",37.65,"NO"
"NMT","NMT07","NMT06","NMT_07_06","north","north_B","Y","2015-08-03","2015-08-10","north_B",34.56,"YES"
"NMT","NMT10","NMT08","NMT_10_08","north","north_B","Y","2015-08-03","2015-08-14","north_B",32.36,"NO"
"WFM","WFM04","WFM14","WFM_04_14","north","north_B","Y","2015-08-03","2015-08-11","north_B",36,"YES"
"LIJ","LIJ06","LIJ03","LIJ_06_03","north","north_B","Y","2015-08-03","2015-08-11","north_B",34.74,"YES"
"RCK","RCK09","RCK06","RCK_09_06","north","north_B","Y","2015-08-03","2015-08-09","north_B",43.58,"YES"
"WFM","WFM13","WFM11","WFM_13_11","north","north_B","Y","2015-08-03","2015-08-11","north_B",47.35,"YES"
